senderId,receiverId,message,timestamp,attachments
DEPT_003,DM_001,"स्वयं सहायता समूहों को माइक्रो लोन वितरण कार्यक्रम की स्वीकृति आवश्यक। 50 समूह, 25 लाख रुपये।",2025-02-10T10:30:00Z,"[{""fileName"": ""shg_loan_proposal.pdf"", ""url"": ""http://example.com/shg_loan_proposal.pdf""}]"
DEPT_001,PANCH_005,"खाद्य सुरक्षा: राशन विक्रेताओं की मासिक बैठक 5 मार्च को। उपस्थिति अनिवार्य है।",2025-02-11T09:00:00Z,"[]"
DEPT_002,DM_002,"ग्रामीण खेल मैदान निर्माण प्रस्ताव। अनुमानित लागत: 15 लाख। खेल विभाग से स्वीकृति प्राप्त।",2025-02-12T14:20:00Z,"[{""fileName"": ""sports_ground.pdf"", ""url"": ""http://example.com/sports_ground.pdf""}]"
DEPT_003,PANCH_001,"महिला सशक्तिकरण: सिलाई प्रशिक्षण केंद्र के लिए 20 नई मशीनें प्राप्त। वितरण कार्यक्रम की तिथि तय करें।",2025-02-13T11:45:00Z,"[]"
DEPT_001,DM_004,"वृक्षारोपण अभियान प्रगति: 5000 में से 3000 पौधे रोपित। जल संरक्षण कार्य भी साथ में जारी।",2025-02-14T10:00:00Z,"[{""fileName"": ""plantation_report.pdf"", ""url"": ""http://example.com/plantation_report.pdf""}]"
DEPT_002,PANCH_002,"स्वच्छ भारत मिशन: कम्पोस्ट पिट निर्माण कार्य 80% पूर्ण। शेष कार्य 10 दिन में पूरा होगा।",2025-02-15T13:15:00Z,"[]"
DEPT_003,DM_001,"ग्राम पंचायत भवन मरम्मत कार्य आवश्यक। छत रिसाव से दस्तावेज खराब होने का खतरा।",2025-02-16T15:30:00Z,"[{""fileName"": ""building_repair.pdf"", ""url"": ""http://example.com/building_repair.pdf""}]"
DEPT_001,PANCH_003,"डिजिटल साक्षरता अभियान: मोबाइल बैंकिंग प्रशिक्षण कल से प्रारंभ। 100 लोगों का पंजीकरण पूर्ण।",2025-02-17T09:45:00Z,"[]"
DEPT_002,DM_003,"ग्रामीण स्वास्थ्य केंद्र में नए डॉक्टर की नियुक्ति। आवास व्यवस्था की स्वीकृति आवश्यक।",2025-02-18T12:00:00Z,"[{""fileName"": ""doctor_appointment.pdf"", ""url"": ""http://example.com/doctor_appointment.pdf""}]"
DEPT_003,PANCH_004,"बाल विकास परियोजना: नए आंगनवाड़ी केंद्र का उद्घाटन 1 मार्च को। कृपया तैयारी करवाएं।",2025-02-19T14:20:00Z,"[]"
DEPT_001,DM_002,"ग्रामीण उद्योग प्रोत्साहन: हथकरघा क्लस्टर के लिए 50 लाख की योजना। विस्तृत प्रस्ताव संलग्न।",2025-02-20T16:45:00Z,"[{""fileName"": ""handloom_cluster.pdf"", ""url"": ""http://example.com/handloom_cluster.pdf""}]"
